"endTime","artistName","trackName","minutesPlayed"
2021-08-01 18:33:00,"Lil Tjay","CALLING MY PHONE",3.21
2021-08-01 18:33:00,"Ariana Grande","POSITIONS",0
2021-08-01 18:33:00,"ZAYN","VIBEZ",0.03
2021-08-01 18:33:00,"Pop Smoke","MOOD SWINGS (FEAT. LIL TJAY)",0.01
2021-08-01 18:37:00,"Doja Cat","YOU RIGHT",3.1
2021-08-01 18:40:00,"Justin Bieber","HOLY (FEAT. CHANCE THE RAPPER)",3.53
2021-08-01 18:44:00,"Khalid","ELEVEN (FEAT. SUMMER WALKER)",3.43
2021-08-01 18:47:00,"Tate McRae","WORKING",3.5
2021-08-01 18:50:00,"Charlie Puth","CHEATING ON YOU",3.28
2021-08-01 18:55:00,"SZA","GOOD DAYS",4.65
2021-08-01 18:59:00,"H.E.R.","COME THROUGH (FEAT. CHRIS BROWN)",3.57
2021-08-01 19:02:00,"Russ","3AM",3.34
2021-08-01 19:06:00,"Jaden","FALLING FOR YOU WITH JUSTIN BIEBER",3.71
2021-08-01 19:09:00,"Doja Cat","KISS ME MORE (FEAT. SZA)",3.48
2021-08-01 19:12:00,"Pink Sweat$","AT MY WORST",2.84
2021-08-01 19:15:00,"Mimi Webb","DUMB LOVE",3.45
2021-08-01 19:19:00,"Khalid","NEW NORMAL",3.31
2021-08-01 19:22:00,"Ritt Momney","PUT YOUR RECORDS ON",3.51
2021-08-01 19:25:00,"Charlie Puth","HARD ON YOURSELF",2.68
2021-08-01 19:28:00,"Bazzi","YOUNG & ALIVE",2.67
2021-08-01 19:31:00,"Boy In Space","COLD",3.39
2021-08-01 19:35:00,"J Balvin","OTRA NOCHE SIN TI",3.82
2021-08-01 19:38:00,"Clinton Kane","CHICKEN TENDIES",3.28
2021-08-01 19:42:00,"The Chainsmokers","TAKEAWAY",3.5
2021-08-01 19:44:00,"Tate McRae","YOU BROKE ME FIRST",2.82
2021-08-01 19:48:00,"Sam Fischer","THIS CITY",3.25
2021-08-01 19:50:00,"John K","IF WE NEVER MET",2.41
2021-08-01 19:54:00,"Ali Gatie","CAN'T LET YOU GO",3.4
2021-08-01 19:57:00,"Trevor Daniel","PAST LIFE (WITH SELENA GOMEZ)",3.11
2021-08-01 20:00:00,"WATTS","FEELS (FEAT. KHALID)",3.7
2021-08-01 20:03:00,"The Kid LAROI","WITHOUT YOU (WITH MILEY CYRUS)",2.69
2021-08-01 20:06:00,"ZAYN","BETTER",2.91
2021-08-01 20:09:00,"Tate McRae","LIE TO ME",2.96
2021-08-01 20:12:00,"blackbear","IF I WERE U (WITH LAUV)",3.11
2021-08-01 20:15:00,"Lauv","FAKE",2.44
2021-08-01 20:17:00,"Marshmello","BE KIND (WITH HALSEY)",2.88
2021-08-01 20:21:00,"MAX","BUTTERFLIES",3.19
2021-08-01 20:23:00,"Labrinth","STILL DON'T KNOW MY NAME",2.55
2021-08-01 20:26:00,"FLETCHER","BITTER",3.25
2021-08-01 20:30:00,"Ariana Grande","STUCK WITH U (WITH JUSTIN BIEBER)",3.81
2021-08-01 20:34:00,"Masego","MYSTERY LADY (FEAT. DON TOLIVER)",3.81
2021-08-01 20:37:00,"Justin Bieber","LONELY (WITH BENNY BLANCO)",2.49
2021-08-01 20:39:00,"Tate McRae","STUPID",2.88
2021-08-01 20:42:00,"Foster","FOOLS (CAN'T HELP FALLING IN LOVE) (FEAT. SODY)",2.75
2021-08-01 20:46:00,"James Arthur","TRAIN WRECK",3.48
2021-08-01 20:48:00,"Lord Siva","ROOM FOR LOVE",2.54
2021-08-01 20:51:00,"Mimi Webb","GOOD WITHOUT",3.04
2021-08-01 20:54:00,"JP Saxe","HEY STUPID, I LOVE YOU",3.02
2021-08-01 20:57:00,"Tate McRae","SLOWER",3.13
2021-08-01 21:01:00,"Olivia Rodrigo","DRIVERS LICENSE",4.03
2021-08-01 21:05:00,"Sara Kays","REMEMBER THAT NIGHT?",3.79
2021-08-01 21:09:00,"LANY","DANCING IN THE KITCHEN",3.48
2021-08-01 21:12:00,"Dan + Shay","10,000 HOURS (WITH JUSTIN BIEBER)",2.79
2021-08-01 21:15:00,"Tate McRae","R U OK",3.1
